Data_Source,Symbol,Timeframe,Return_%,Buy_Hold_%,Max_DD_%,Sharpe,Sortino,Exposure_Time_%,Expectancy_%,Trades
BTC-15min,BTC,15m,0.0,160.14160999802712,-0.0,,,0.0,,0
BTC-1day,BTC,1d,0.0,126.19307261351398,-0.0,,,0.0,,0
BTC-1hour,BTC,1h,-46.877481979838365,2369.623859077961,-50.66547125951508,-0.8265069477730668,-0.9238378070510119,1.5240897797148925,-0.4184291678113663,188
BTC-4hour,BTC,4h,-20.21978704076945,926.6464044174796,-21.454635939664545,-0.8789004310157994,-0.9117874083224772,0.8413366140169856,-0.8624812527031126,37
ETH-15min,ETH,15m,-38.675590250675626,19.45157306012431,-42.806737581323304,-1.486593162958822,-1.5954806090543046,0.6205588005506157,-0.6169651103711272,107
ETH-1day,ETH,1d,0.0,54.90379499150375,-0.0,,,0.0,,0
ETH-1hour,ETH,1h,-86.97818130473887,1078.6931818181818,-88.20452775283867,-1.6714371486493593,-1.7636537285655378,5.718806823702511,-0.4149040532517652,762
ETH-4hour,ETH,4h,-75.23809215060447,1165.8705944239875,-75.76111756026485,-1.8092730819890672,-1.9210399266493503,17.77918882450988,-0.29636474221427983,812
SOL-15min,SOL,15m,-90.68570963637434,23.088831551787685,-91.36955687876093,-4.571287114723548,-2.8815203276684414,2.7605193645596935,-0.718602476081455,417
SOL-1day,SOL,1d,0.0,71.11769513690234,-0.0,,,0.0,,0
SOL-1hour,SOL,1h,-98.41365195280721,4467.618424282092,-98.41487131729453,-5.479888948443747,-3.019347524291514,13.192285111657135,-0.7302937137239315,1062
SOL-4hour,SOL,4h,-78.02456767121807,4872.390452440328,-78.75059249574365,-2.3618192539271203,-2.380835226132937,22.69842649743545,-0.5605821462605785,943
