Data_Source,Symbol,Timeframe,Return_%,Buy_Hold_%,Max_DD_%,Sharpe,Sortino,Exposure_Time_%,Expectancy_%,Trades
BTC-15min,BTC,15m,0.0,155.4513229072376,-0.0,,,0.0,,0
BTC-1day,BTC,1d,0.0,147.3155089180296,-0.0,,,0.0,,0
BTC-1hour,BTC,1h,0.0,2504.8565121412803,-0.0,,,0.0,,0
BTC-4hour,BTC,4h,0.0,980.2914956035595,-0.0,,,0.0,,0
ETH-15min,ETH,15m,2.0345751999999995,18.54869187718336,-0.1680229019765056,0.503786914842428,inf,0.004464451802522415,2.3081511196019395,1
ETH-1day,ETH,1d,0.0,54.07275257041155,-0.0,,,0.0,,0
ETH-1hour,ETH,1h,-2.666375399999979,1130.9893257852198,-3.4808870674385206,-0.5696801561199878,-0.5676700862682873,0.015268658995322239,-1.2020154537142396,3
ETH-4hour,ETH,4h,-1.2710075999999935,1219.019951764964,-1.271007599999996,-0.41983792846439577,-0.41891146977817406,0.01587427573616954,-1.7079716513339913,1
SOL-15min,SOL,15m,0.0,24.88406881077039,-0.0,,,0.0,,0
SOL-1day,SOL,1d,0.0,65.1775147928994,-0.0,,,0.0,,0
SOL-1hour,SOL,1h,-0.059809400000012836,4006.65685913939,-0.431881360510189,-0.43627814318845376,-0.4362285343829174,0.01739546413272739,-0.34017249381189,1
SOL-4hour,SOL,4h,0.0,5464.451827242526,-0.0,,,0.0,,0
