Data_Source,Symbol,Timeframe,Return_%,Buy_Hold_%,Max_DD_%,Sharpe,Sortino,Exposure_Time_%,Expectancy_%,Trades
BTC-15min,BTC,15m,0.0,160.57462051846966,-0.0,,,0.0,,0
BTC-1day,BTC,1d,0.0,154.47883955732183,-0.0,,,0.0,,0
BTC-1hour,BTC,1h,0.0,2373.7426888325194,-0.0,,,0.0,,0
BTC-4hour,BTC,4h,0.0,972.2160747603164,-0.0,,,0.0,,0
ETH-15min,ETH,15m,0.0,19.489161830564164,-0.0,,,0.0,,0
ETH-1day,ETH,1d,0.0,45.98179443318898,-0.0,,,0.0,,0
ETH-1hour,ETH,1h,0.0,1090.4326891366004,-0.0,,,0.0,,0
ETH-4hour,ETH,4h,0.0,1262.74161884627,-0.0,,,0.0,,0
SOL-15min,SOL,15m,0.0,25.25881470367591,-0.0,,,0.0,,0
SOL-1day,SOL,1d,0.0,78.54173329069395,-0.0,,,0.0,,0
SOL-1hour,SOL,1h,0.0,4345.299644354796,-0.0,,,0.0,,0
SOL-4hour,SOL,4h,0.0,4815.910891960905,-0.0,,,0.0,,0
