Data_Source,Symbol,Timeframe,Return_%,Buy_Hold_%,Max_DD_%,Sharpe,Sortino,Exposure_Time_%,Expectancy_%,Trades
BTC-15min,BTC,15m,0.0,160.14160999802712,-0.0,,,0.0,,0
BTC-1day,BTC,1d,0.0,126.19307261351398,-0.0,,,0.0,,0
BTC-1hour,BTC,1h,-18.492236486038426,2369.623859077961,-22.487681333784447,-0.5150644802001679,-0.6040742374197707,0.12492539177990922,-0.8547221166962783,27
BTC-4hour,BTC,4h,-12.475798506874563,926.6464044174796,-17.39471335599516,-0.6411505468864556,-0.7149468495296659,0.16667989522978013,-2.456499291482466,7
ETH-15min,ETH,15m,0.0,19.45157306012431,-0.0,,,0.0,,0
ETH-1day,ETH,1d,2.0591937905217126,54.90379499150375,-9.763655747814648,0.0918901983476914,0.13861528465813297,9.714285714285714,0.6066612217811589,14
ETH-1hour,ETH,1h,-20.627443424295098,1078.6931818181818,-21.200041119104284,-0.7348572559106243,-0.7504290389968382,0.04858209680329803,-2.091138721268151,13
ETH-4hour,ETH,4h,-22.119447761141,1165.8705944239875,-32.02586855377334,-0.33557735941294314,-0.574327399166426,1.5159933328041908,-0.3101418569273499,58
SOL-15min,SOL,15m,-15.20307615616035,23.088831551787685,-23.60236794547643,-0.5538386190867182,-0.5914778258459829,0.04762081922690577,-0.7886925035665487,16
SOL-1day,SOL,1d,1.1878078339237799,71.11769513690234,-4.494064468256043,0.10703807996399749,0.20175374126300472,3.8571428571428568,0.4716781611612065,5
SOL-1hour,SOL,1h,-22.30421654118552,4467.618424282092,-23.30903745048546,-1.1230737506902957,-1.0696509638656475,0.06305855748113678,-3.8271937880410922,9
SOL-4hour,SOL,4h,-21.735552562465227,4872.390452440328,-40.40332962682277,-0.3291527468666777,-0.46759053771012177,3.3121794314526642,-0.2562361665702546,89
