timestamp,symbol,score,classification,rsi,rvol,price_change_2w,vs_btc,persistence
2025-11-15T19:45:40.304329,DASHUSDT,85,STRONG,64.0,1.78,17.95,30.7,SPIKE
2025-11-15T19:45:40.304363,LSKUSDT,80,STRONG,54.5,3.8,42.93,55.68,ESTABLISHED
2025-11-15T19:45:40.304381,STRKUSDT,80,STRONG,46.5,3.53,54.34,67.09,ESTABLISHED
2025-11-15T19:45:40.304396,LTCUSDT,75,STRONG,65.3,1.52,4.42,17.17,EMERGING
2025-11-15T19:45:40.304409,UNIUSDT,65,MODERATE,59.6,1.32,26.08,38.83,EMERGING
2025-11-15T19:45:40.304420,ZECUSDT,60,MODERATE,74.4,1.37,56.46,69.21,SPIKE
2025-11-15T19:45:40.304431,ASTERUSDT,60,MODERATE,64.0,0.9,15.95,28.7,SPIKE
2025-11-15T19:45:40.304442,FETUSDT,55,WEAK,56.9,0.59,16.75,29.5,SPIKE
2025-11-15T19:45:40.304453,TRBUSDT,55,WEAK,62.9,6.5,1.77,14.52,EMERGING
2025-11-15T19:45:40.304464,NEARUSDT,55,WEAK,58.4,1.09,16.57,29.32,SPIKE
2025-11-15T19:45:40.304475,FILUSDT,55,WEAK,56.8,0.88,30.93,43.68,SPIKE
2025-11-15T19:45:40.304486,ZENUSDT,50,WEAK,70.3,1.63,-27.58,-14.83,SPIKE
2025-11-15T19:45:40.304497,ALCXUSDT,45,WEAK,40.1,1.37,69.4,82.15,EMERGING
2025-11-15T21:07:30.303838,DASHUSDT,85,STRONG,61.6,1.8,15.5,28.58,SPIKE
2025-11-15T21:07:30.303876,LAUSDT,85,STRONG,61.3,2.63,32.35,45.43,SPIKE
2025-11-15T21:07:30.303894,UNIUSDT,70,MODERATE,64.2,1.24,24.83,37.91,EMERGING
2025-11-15T21:07:30.303908,STRKUSDT,70,MODERATE,40.8,3.55,51.1,64.18,EMERGING
2025-11-15T21:07:30.303927,ZECUSDT,60,MODERATE,69.7,1.39,55.96,69.04,SPIKE
2025-11-15T21:07:30.303941,ASTERUSDT,60,MODERATE,61.6,0.92,15.41,28.49,SPIKE
2025-11-15T21:07:30.303954,LSKUSDT,55,WEAK,46.9,3.44,36.41,49.49,ESTABLISHED
2025-11-15T21:07:30.303967,FILUSDT,55,WEAK,57.8,0.86,23.61,36.69,SPIKE
2025-11-15T21:07:30.303980,ZKUSDT,55,WEAK,51.8,1.13,45.25,58.33,SPIKE
2025-11-15T21:07:30.303993,LTCUSDT,50,WEAK,64.6,1.46,3.63,16.71,EMERGING
2025-11-15T21:07:30.304005,FETUSDT,50,WEAK,62.4,0.57,14.74,27.82,SPIKE
2025-11-15T21:07:30.304018,ZENUSDT,50,WEAK,69.9,1.63,-26.58,-13.5,SPIKE
2025-11-15T21:07:30.304031,TRBUSDT,50,WEAK,75.6,4.97,0.75,13.83,EMERGING
2025-11-15T21:07:30.304044,NEARUSDT,50,WEAK,61.0,1.1,13.65,26.73,SPIKE
2025-11-15T22:24:14.109630,LAUSDT,85,STRONG,65.6,2.96,41.84,54.78,SPIKE
2025-11-15T22:24:14.109703,DASHUSDT,75,STRONG,61.0,1.85,11.61,24.55,SPIKE
2025-11-15T22:24:14.109720,STRKUSDT,70,MODERATE,39.4,3.56,52.67,65.61,EMERGING
